name,0
pres_rate,0.289
addict_rate,0.00744
addict_fromaddict_rate,0.00258
addict_frompres_rate,0.0028268
relapse_rate,0.9
natural_death_rate,0.0063
pop_2010,8190355
pop_2011,8272963
pop_2012,8348032
pop_2013,8398739
pop_2014,8437387
pop_2015,8468181
pop_2016,8475976
pop_2017,8438271
est_addict_od,0.546
opioid_od_2011,453
opioid_od_2012,560
opioid_od_2013,541
opioid_od_2014,555
opioid_od_2015,665
opioid_od_2016,1030
opioid_od_2017,1054
actual_od_death_2015,0.000073
presopioid_death_rate_2010,0.000045
p_0,0.0387
oasas_2011,25209
oasas_2012,25299
oasas_2013,24402
oasas_2014,24232
oasas_2015,24255
oasas_2016,24217
oasas_2017,23236
relative_treat,1
relative_b_a,1
