name,0
pres_rate,0.289
addict_rate,0.00744
addict_fromaddict_rate,0.00094
addict_frompres_rate,0.00266
relapse_rate,0.9
rehab_success_rate,0.1
natural_death_rate,0.007783
pop_2010,19400080
pop_2011,19498514
pop_2012,19574549
pop_2013,19628043
pop_2014,19656330
pop_2015,19661411
pop_2016,19641589
pop_2017,19590719
est_addict_od,0.546
opioid_od_2011,741
opioid_od_2012,768
opioid_od_2013,805
opioid_od_2014,842.5
opioid_od_2015,897
opioid_od_2016,951
opioid_od_2017,1046
actual_od_death_2015,0.00007
presopioid_death_rate_2010,0.000039
p_0,0.0532
relative_treat,1
