name,0
pres_rate,0.5229
addict_rate,0.00744
addict_fromaddict_rate,0.00094
addict_frompres_rate,0.00266
relapse_rate,0.9
rehab_success_rate,0.1
natural_death_rate,0.0089
pop_2010,11209725
pop_2011,11225551
pop_2012,11226517
pop_2013,11229304
pop_2014,11218943
pop_2015,11193230
pop_2016,11165613
pop_2017,11152448
est_addict_od,0.546
opioid_od_2011,521
opioid_od_2012,548
opioid_od_2013,585
opioid_od_2014,622.5
opioid_od_2015,677
opioid_od_2016,731
opioid_od_2017,826
actual_od_death_2015,0.000097
presopioid_death_rate_2010,0.000048
p_0,0.0638
relative_treat,1
