name,0
pres_rate,0.5229
addict_rate,0.00744
addict_fromaddict_rate,0.00301
addict_frompres_rate,0.0028268
relapse_rate,0.9
natural_death_rate,0.0089
pop_2010,11209725
pop_2011,11225551
pop_2012,11226517
pop_2013,11229304
pop_2014,11218943
pop_2015,11193230
pop_2016,11165613
pop_2017,11152448
est_addict_od,0.546
opioid_od_2011,903
opioid_od_2012,970
opioid_od_2013,1140
opioid_od_2014,1184
opioid_od_2015,1501
opioid_od_2016,1979
opioid_od_2017,2170
actual_od_death_2015,0.000138
presopioid_death_rate_2010,0.000052
p_0,0.0638
oasas_2011,31411
oasas_2012,33989
oasas_2013,36298
oasas_2014,38238
oasas_2015,40551
oasas_2016,42271
oasas_2017,41966
relative_treat,1.1559
relative_b_a,1.1666667
